0,1,2,3,4,5
1503734400000,4330.6,4302.7,4342.2,4280.0,1673.80054191
1503748800000,4302.7,4295.0,4303.3,4243.3,4111.535450010002
1503763200000,4295.1,4326.8,4352.3,4262.7,2432.500217349999
1503777600000,4326.7,4340.4,4355.3,4314.1,1720.541547760001
1503792000000,4341.5,4336.7,4406.7,4332.6,2674.085806399999
1503806400000,4336.8,4334.0,4359.3,4304.4,1764.570886420002
1503820800000,4334.0,4343.0,4350.0,4310.0,1559.0514172599994
1503835200000,4348.3,4343.0,4350.0,4310.0,2007.25231575
1503849600000,4343.1,4360.1,4360.2,4325.1,1549.7449953200012
1503864000000,4360.1,4332.8,4375.0,4325.6,1608.2207202800005
1503878400000,4333.8,4279.8,4338.0,4278.0,3037.6929111600007
1503892800000,4279.8,4275.7,4281.0,4175.0,5949.887739959998
1503907200000,4275.8,4311.2,4321.9,4248.4,3436.701885679999
1503921600000,4312.8,4296.2,4321.0,4281.1,2644.2403431699977
1503936000000,4297.7,4344.5,4373.0,4287.6,3675.6925301700016
1503950400000,4344.5,4385.1,4395.5,4330.0,2480.03123767
1503964800000,4385.2,4385.0,4397.5,4351.0,1556.5599680799994
1503979200000,4383.9,4341.5,4385.0,4325.1,1600.9777154099995
1503993600000,4341.5,4379.5,4395.9,4340.8,2632.39307129
1504008000000,4379.7,4573.1,4643.0,4349.1,18001.536856969993
1504022400000,4573.0,4588.0,4594.0,4531.0,4952.84755867
1504036800000,4587.9,4587.1,4648.8,4582.7,3958.76735632
1504051200000,4587.1,4599.4,4636.0,4564.0,2774.08317716
1504065600000,4599.4,4569.9,4643.0,4562.1,2947.6721875399994
1504080000000,4570.0,4525.1,4589.8,4481.0,5911.592887319996
1504094400000,4525.0,4557.3,4578.0,4515.2,2484.47698984
1504108800000,4557.9,4549.6,4589.0,4548.1,1527.7670997199998
1504123200000,4549.8,4568.0,4583.5,4535.2,1419.5085574800007
1504137600000,4568.0,4617.0,4620.3,4566.9,2301.1769368899986
1504152000000,4617.2,4614.1,4624.0,4590.2,1621.9085751499993
1504166400000,4614.5,4695.2,4699.9,4592.6,4162.742849589999
1504180800000,4695.0,4696.5,4727.0,4670.2,4811.75389038
1504195200000,4697.2,4707.7,4749.9,4679.9,3873.139756609999
1504209600000,4707.4,4718.3,4737.1,4704.7,1696.9775055399996
1504224000000,4718.2,4742.6,4760.0,4718.2,2832.10992874
1504238400000,4742.6,4735.0,4742.6,4660.0,3938.298587670001
1504252800000,4735.0,4788.4,4794.6,4732.0,4422.573099800002
1504267200000,4788.3,4828.7,4836.2,4765.8,6554.329061200002
1504281600000,4823.7,4863.7,4871.0,4800.0,5187.013330699998
1504296000000,4863.7,4907.7,4936.9,4834.4,5850.930091880006
1504310400000,4909.2,4811.3,4970.0,4801.2,7252.891225700002
1504324800000,4811.7,4724.6,4859.8,4535.0,14885.312793200004
1504339200000,4718.2,4649.5,4728.4,4530.0,7157.579439159998
1504353600000,4650.0,4534.6,4679.0,4451.5,11393.521264500008
1504368000000,4534.6,4510.4,4594.4,4472.1,6795.801069000001
1504382400000,4509.8,4532.3,4549.9,4400.1,7482.093090999997
1504396800000,4534.3,4599.9,4616.9,4531.3,4789.423354900005
1504411200000,4599.9,4633.6,4699.9,4599.8,5468.1349476
1504425600000,4634.3,4505.7,4670.0,4470.1,4948.182987609999
1504440000000,4507.1,4437.9,4545.2,4331.0,8208.373810080007
1504454400000,4437.8,4542.8,4545.0,4435.8,4571.463453000004
1504468800000,4542.9,4598.5,4649.9,4487.0,5563.210062349999
1504483200000,4598.0,4549.1,4611.6,4500.1,2524.0590479099988
1504497600000,4549.6,4372.6,4549.8,4369.0,5163.283469000001
1504512000000,4373.0,4291.2,4428.3,4233.7,13846.644732599996
1504526400000,4291.3,4224.7,4359.9,4100.1,15734.368547999997
1504540800000,4225.0,4239.7,4288.4,4052.0,14565.895422800004
1504555200000,4238.0,4205.0,4337.7,4151.0,7253.125178599996
1504569600000,4207.5,4020.6,4212.7,3925.0,14965.021369900003
1504584000000,4020.7,4160.4,4174.0,3900.1,10270.228561099995
1504598400000,4161.9,4237.7,4237.7,4050.2,6882.309463099999
1504612800000,4237.7,4205.2,4299.0,4204.6,8099.858259699999
1504627200000,4205.2,4413.0,4448.0,4166.0,10832.543643899991
1504641600000,4413.0,4375.0,4471.0,4350.1,6676.37825028
1504656000000,4375.0,4466.0,4488.8,4367.8,6909.741243999999
1504670400000,4466.1,4473.8,4489.0,4352.4,5791.080737220002
1504684800000,4474.5,4538.0,4538.4,4465.9,7506.6131412999985
1504699200000,4536.0,4590.6,4596.0,4439.0,8336.777429299998
1504713600000,4592.0,4586.5,4633.7,4545.7,6254.2908832
1504728000000,4589.4,4595.8,4625.0,4520.1,4195.389928480003
1504742400000,4592.6,4506.0,4599.7,4479.9,5096.110194110003
1504756800000,4505.9,4468.9,4549.9,4455.1,2410.8423441800005
1504771200000,4469.9,4603.6,4620.0,4467.2,4417.54327743
1504785600000,4604.1,4655.0,4675.0,4576.8,5974.055720199998
1504800000000,4655.0,4599.6,4665.7,4583.8,2808.941068490001
1504814400000,4605.0,4613.7,4642.6,4557.2,2424.437126400001
1504828800000,4613.6,4597.6,4613.9,4560.0,1664.3231616699998
1504843200000,4597.4,4631.1,4642.9,4564.1,1759.7149457199994
1504857600000,4631.1,4619.0,4694.9,4610.0,3688.84338153
1504872000000,4617.8,4374.6,4639.7,4211.0,28659.93193288999
1504886400000,4374.1,4186.6,4424.9,4183.0,12509.0481445
1504900800000,4186.5,4304.0,4337.4,4105.0,12661.040759100011
1504915200000,4304.1,4250.5,4321.4,4151.0,8660.739858010007
1504929600000,4251.7,4332.9,4395.2,4192.3,5898.931667019999
1504944000000,4337.9,4354.0,4358.0,4285.0,3662.2839876899993
1504958400000,4354.0,4269.4,4376.9,4250.0,4010.8335503099993
1504972800000,4271.0,4265.0,4299.9,4160.8,5805.061204480004
1504987200000,4264.6,4315.9,4349.9,4255.8,3070.722371890003
1505001600000,4315.4,4189.0,4315.6,4184.7,3517.7636062600004
1505016000000,4189.0,4086.3,4236.0,3974.1,12666.671521500006
1505030400000,4083.1,4126.8,4143.0,4012.3,10446.871099500002
1505044800000,4124.6,4132.0,4183.4,4079.9,5555.800111499998
1505059200000,4131.9,4312.0,4330.0,4130.0,9647.71157695001
1505073600000,4310.1,4233.9,4310.2,4220.3,4041.7148033999983
1505088000000,4233.5,4339.3,4383.2,4208.0,5427.239243199999
1505102400000,4340.7,4181.3,4341.0,4125.0,7882.875494799998
1505116800000,4181.3,4180.6,4220.0,4123.0,4415.37935036
1505131200000,4180.0,4230.5,4289.0,4169.4,6073.905045959999
1505145600000,4230.4,4184.5,4265.0,4166.2,4462.734201249999
1505160000000,4184.4,4198.7,4212.7,4152.5,2635.287658740001
1505174400000,4200.5,4281.8,4291.7,4198.8,4717.905103830002
1505188800000,4281.7,4354.0,4379.0,4264.3,5916.355462410001
1505203200000,4354.0,4324.0,4379.0,4248.0,6044.775668579998
1505217600000,4324.0,4235.9,4346.1,4234.0,5048.765522600003
1505232000000,4235.2,4160.2,4262.4,4050.0,12939.219997940008
1505246400000,4160.4,4149.4,4207.0,4110.5,5380.805298259998
1505260800000,4149.4,3940.6,4160.0,3917.7,10517.563396850004
1505275200000,3940.8,3950.0,4033.0,3900.1,10398.984765300009
1505289600000,3949.0,3815.1,3980.0,3805.8,11550.259377399996
1505304000000,3815.3,3829.4,3916.8,3731.7,21839.914373199976
1505318400000,3829.5,3839.6,3948.0,3805.0,10970.860724270002
1505332800000,3839.6,3849.7,3949.9,3825.5,6225.6451668
1505347200000,3849.7,3790.6,3917.2,3783.4,5100.932268450001
1505361600000,3790.1,3864.5,3895.0,3737.3,5264.410445700001
1505376000000,3863.0,3631.0,3889.0,3605.1,26427.804409660017
1505390400000,3631.0,3526.6,3690.1,3413.4,39097.1124646
1505404800000,3526.6,3350.0,3535.0,3258.0,30386.289530700004
1505419200000,3350.0,3235.3,3436.0,3204.7,21234.174222
1505433600000,3235.4,3377.1,3474.4,3235.3,16573.282793599992
1505448000000,3375.1,3125.2,3382.5,3057.2,25469.6482712
1505462400000,3125.3,3013.0,3213.6,2980.4,38888.53939249997
